teste;registro 0 não é registrado;00/00/0000;null;
democratas;RT @profdorinha: Bancada Feminina: Se nós olharmos a representatividade do ponto de vista de população, é mais do que realista. Atualmente, 52,5% do eleitorado é composto por mulheres. ;02/12/2020;Paraíba;
PedroPpfc;RT @rjlauracarneiro: Parabéns a todos os Prefeitos eleitos na Região Metropolitana do Rio de Janeiro.;03/10/2020;Rio de janeiro;
pereira_dcsp;#Eleicoes2020 #ciro #UrnasAuditaveis #Smartmatic ;25/10/2020;Campinas;
ArnaldoJardim;Agora precisamos avançar nas votações da Câmara dos Deputados para caminhar com temas como a Reforma Tributária e o Orçamento para 2021. Vamos em frente! ;17/08/2020;Patrocínio - MG;
brasileiro1985;RT @GloboNews: Alexandre Kalil, prefeito reeleito de Belo Horizonte, foi o convidado do #EmFococomAndreiaSadi, de volta à #GloboNews em edição especial no #edicao10. ;22/10/2020;Campina Grande;
RoGinez;RT @GloboNews: Alexandre Kalil, prefeito reeleito de Belo Horizonte, foi o convidado do #EmFococomAndreiaSadi, de volta à #GloboNews em edição especial no #edicao10. ;22/10/2020;Newburgh - NY;
AndreiaSadi;RT @GloboNews: Alexandre Kalil, prefeito reeleito de Belo Horizonte, foi o convidado do #EmFococomAndreiaSadi, de volta à #GloboNews em edição especial no #edicao10.;23/10/2020;Brasília;
blogdayeda;RT @PSDBMULHER45: Apesar da violência política enfrentada pelas tucanas nas #eleições2020, o #PSDB avançou no número de mulheres eleitas em grandes centros urbanos. Seis cidades com mais de 200 mil habitantes elegeram mulheres do PSDB para prefeitas.;01/12/2020;Rio Grande do Sul;
ReBrUsa;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade ;17/11/2020;USA;
sdnewscatalao;O assunto 2022 e 2024 foram levantados durante as entrevistas.;18/10/2020;Catalão Goiás;
GloboNews;Alexandre Kalil, prefeito reeleito de Belo Horizonte, foi o convidado do #EmFococomAndreiaSadi, de volta à #GloboNews em edição especial no #edicao10.;02/12/2020;Brasil;
CAOESTE_ONG;Escucha el 7° episodio de nuestro podcast junto a #ViniciusQuintinodeOliveira, miembro de la #CAOESTE y del @tre_es, sobre la 1ra vuelta de las #eleicoes2020 de #Brasil.;02/12/2020;América;
diraholanda;RT @J_LIVRES: Por Janete @JChargista ;23/10/2020;Rio de Janeiro;
celsoapsil;RT @Sangue_Latino: Passaram as #Eleicoes2020 já entregaram o ouro pros bandidos;29/10/2020;RJ;
AbradepO;Na última última segunda-feira (23), o Núcleo de Inteligência da JE realizou levantamento sobre os números das prestações de contas de candidatos nas Eleições 2020.;30/08/2020;Rio Vermelho;
brasildefato;#Eleições2020 deixam duas lições: a primeira é a importância e a necessidade de uma unidade com a formação de uma frente progressista e, a segunda, a necessidade de voltarmos às bases. #Leia a coluna no BdF de @vanessa_grazz ;13/10/2020;Brasil;
Poder360;#Eleições2020 | Cota feminina de 16% mudaria o resultado da eleição em metade do Brasil https://t.co/jWAXHmIlWt;15/11/2020;Complexo da Penha;
Loumaria;RT @J_LIVRES: Por Janete @JChargista ;17/12/2020;Roraima ;
twipaulagomes;RT @OEA_BR: Especialistas em organização e tecnologia eleitoral, justiça eleitoral, gênero, participação de grupos indígenas e afrodescendentes e financiamento político se reuniram c/funcionários do @TSEjusbr e @TRESPjusbr para seguir os preparativos das #Eleicoes2020 #OEAnoBrasil https://t.co/kbqvrk6ve7;18/12/2020;Brasília;
J_LIVRES;RT @LabcidadeFAUUSP: Este mapa mostra a diferença dos percentuais de votos em @GuilhermeBoulos em 2020 e @Haddad_Fernando por zona eleitoral em São Paulo. As variações do voto entre 2018 e 2020 não acontece de forma homogênea, mas tem uma lógica espacial;23/11/2020;Brasil;
sousasimoni;2018-SãoPaulo: Nordestinos burros que votaram na esquerda. 2020-Also São Paulo: Covas e Boulos no 2° Turno. ;24/10/2020;Jerusalém;
izaqueins;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade #Eleicoes2020 #sbtnewseleicoes;16/07/2020;Amazônia;
dw_brasil;O Republicanos, ligado à Universal, foi um dos partidos que se destacaram entre a direita e a centro-direita nas #Eleicoes2020 ;02/12/2020;Bonn - Alemanha;
BMPaiva;RT @SEGUNDOJR: O @TSEjusbr e as autoridades envolvidas na liberação e na falta de regras e de fiscalização das eleições 2020, deram causa pro retorno ao caos pandêmico na saúde pública Brasieira. ;20/10/2020;RJ;
raquelsilvei;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade;15/09/2020;Brasília;
jacintamonteir1;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade;15/09/2020;Brasília;
Fran38Gabriel;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade;13/10/2020;São Paulo - SP;
jeremiasdmcr;Dim dom! Faltam apenas 679 dias para as eleições federais e 1405 dias para as eleições municipais! ;12/11/2020;Central;
ancipado;RT @redebrasilatual: IMPRENSA - Debate no @cbaraodeitarare analisa ‘operação política’ da mídia para eleger candidatos de sua preferência #Eleicoes2020;13/10/2020;Brasil;
tatyaguiar12;RT @SEGUNDOJR: O @TSEjusbr e as autoridades envolvidas na liberação e na falta de regras e de fiscalização das eleições 2020, deram causa pro retorno ao caos pandêmico na saúde pública Brasieira. ;17/10/2020;Zona Leste;
maxilaurido;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade ;19/10/2020;Brasil;
cotysorensen1;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade ;20/10/2020;Danemark - Peru;
BolsonaroSP;RT @sbtnews: Jair Bolsonaro votou na manhã deste domingo, no Rio de Janeiro. Na saída da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso é uma necessidade ;13/10/2020;Brasil;
EloiDuarte1;Os mesmos que gritavam “conluio russo” 4 anos atrás, agora dizem que “não existe fraude eleitoral”. Esquerdalha mundial sempre com a mesma narrativa vitimista... ;15/09/2020;Natal;
SEGUNDOJR;O @TSEjusbr e as autoridades envolvidas na liberação e na falta de regras e de fiscalização das eleições 2020, deram causa pro retorno ao caos pandêmico na saúde pública Brasieira.;23/06/2020;América;
Latinoamerica21;"""En noviembre pasado las urnas se distanciaron de las posiciones extremas del presidente, pero fortalecieron a la derecha política"" ";24/08/2020;América Latina;
DaniloMRugerri1;RT @DefesaGovBr: #Eleições2020  ATUALIZAÇÃO ?? Veja no infográfico como foram distribuídas as ações de Garantia da Votação e Apuração (GVA) e de apoio logístico por estados.;25/10/2020;Nova Iorque;
diesandro;Olha sinceramente Brito eu não tenho nem oque falar sobre ( 2. Vereador mais votado de BH ) uma cópia dos filhos do palhaço.;26/08/2020;Santos;
Primata325253;Que todas as eleições deixam de lado os corruptos, quem tem político de estimação é jornalista! ;27/08/2020;SC;
luizgdsp;RT @miriamleitao: SP: Guilherme Boulos do PSOL sai dessa eleição bem maior do que entrou, mesmo tendo perdido a eleição. Tornou-se uma força importante da esquerda. #Eleicoes2020;29/09/2020;RS;
thelucky;DIA 06/12 VAMO DE BANCADA PRETA, 18080! ;07/08/2020;Brasil;
jjhondivo;RT @deusesdofut: E o novo prefeito de Recife? João Campos;05/12/2020;João Pessoa;
realoffc23;O Diretor do Departamento para a Cooperação e Observação Eleitoral (DECO) @gerardodeicaza se reuniu com @LRobertoBarroso, presidente do @TSEjusbr, na conclusão da jornada eleitoral deste domingo;25/10/2020;BR;
TVJustica;Impedir a propagação das #FakeNews foi uma das principais metas da Justiça Eleitoral durante as #Eleicoes2020. Para isso, o @TSEjusbr contou com parcerias fundamentais para o enfrentamento à desinformação.;29/11/2020;Brasil;
Frida_Revoltada;Agora que acabou a eleição não tem mais porque alimentar os pobres #PSDB #Covas #Eleicoes2020 #DoriaGenocida;28/10/2020;São Paulo - SP;
callmebyVia;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventude."" #Eleicoes2020";17/10/2020;Brasília;
XsEdinho;"@JuliaMe75489206 #ForaMaia Ñunca mais: Nhonhos; Batorés; PeppaPigs; Pascollês; Zambêllês; Frutas e Tiriricas 'da vida'!Povo, pelo amor de dios, APRENDAMOS ; de uma vez por todas a VOTAR";13/09/2020;Niterói - RJ;
andersonsouzaof;https://t.co/gAaxflO441 Vídeo novo ;18/10/2020;Maceió;
CornetteiroO;RT @ibirabali: imparcialidade Padrão REBI$$$ fãs da Comuna???;23/09/2020;Brazil;
zayniandlouis;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventud";20/10/2020;Barranquila;
Bot_Corona_V;RT @xandaodalapa: O que aconteceu nessas #Eleicoes2020 no Brasil. #bidenpresident;18/11/2020;World;
BrunalvyQuinn;A maior parte da população que está apta a votar é formada por: Mulheres Negros Pobres ;23/09/2020;Brasil;
AltafiniRegis;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventude.";17/08/2020;Campinas;
Vauiar;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventude.";18/10/2020;Rio Grande do Sul;
guicostaa4;RT @proindio: #Eleicoes2020 O lobby da madeira mostrou sua força nas urnas, elegendo 7 dos 18 proprietários do setor que se candidataram a prefeituras de municípios do Norte e do Centro-Oeste. Texto de Priscilla Arroyo para o @deolhonoagro;18/10/2020;RS;
danigiamp;RT @proindio: #Eleicoes2020 O lobby da madeira mostrou sua força nas urnas, elegendo 7 dos 18 proprietários do setor que se candidataram a prefeituras de municípios do Norte e do Centro-Oeste. Texto de Priscilla Arroyo para o @deolhonoagro;19/10/2020;RN;
worgtal;#Eleicoes2020 https://t.co/UQt0vl1vPV;22/07/2020;Niterói;
LuizinGalicioli;RT @agencialupa: Circula nas redes sociais que 61,09% do eleitorado paulistano não votou no segundo turno das eleições de 2020. Leia: https://t.co/4G4fNkqDMR. ;24/09/2020;Luís Antônio;
luckvilla;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventude.";25/10/2020;Caruaru;
vinycaique;"RT @carolinatre: Do @GuilhermeBoulos sobre derrota no pleito 2020 na live com a @ManuelaDavila : ""Ainda que não tenha sido desta vez, a gente ganhou o projeto de uma geração, da juventude.";08/08/2020;Brasil;
poderpopularmg;ELEIÇÕES I Comunistas saem das eleições com cabeça erguida. Destaque é o resultado em Ipatinga. Reportagem de Leonardo Godim para o Poder Popular MG.;23/10/2020;Minas Gerais;
Hanna_J0rge;Assistido a live da @ManuelaDavila com @GuilhermeBoulos na companhia da mãe e vó, vcs estão alcançando 3 gerações simultaneamente, que orgulho de ser de esquerda e pensar política junto com as mulheres da minha vida.;27/09/2020;MG;
GenteCalma;No episódio de hoje comentamos sobre as Eleições 2020 e suas possíveis consequências no futuro. ;13/08/2020;Brasil;
Bot_Corona_V;RT @cdr_br: #Eleicoes2020: desinformação em forma de violência política online contra candidaturas de grupos minorizados;13/10/2020;Brasil;
PedroPpfc;Por mais casas para a população, Marx Beltrão declara apoio ao Programa Casa Verde Amarela;27/09/2020;Cubatão - SP;
Bot_Corona_V;Prefeito JHC se reúne com Caixa Econômica e cobra celeridade de convênios em andamento em Maceió https://t.co/O97F6kR25I;18/09/2020;Canasvieiras;
PedroPpfc;Acho que o Bruno Covas conhece apenas a pista de corrida da Centauro. ;25/10/2020;Palhoça;
worgtal;ELEIÇÕES 2020 Ocupante de cargo comissionado é multada em R$ 53 mil por divulgação de pesquisa sem registro ;04/09/2020;Zona Sul;
luckvilla;BRASÍLIA JÁ TEVE PREFEITO? Ainda no clima das #Eleições2020, o #TBTCorreio de hoje lembra da época em que Brasília teve prefeitos. Sim, a capital federal já teve gestor municipal ;04/09/2020;Porto Alegre - RS;
PedroPpfc;Petrobras anuncia aumento de 5% no preço do gás de cozinha https://t.co/bbeaPqpyCC ;14/10/2020;BR;
guicostaa4;Ó as ideia #Eleicoes2020 https://t.co/B1P3vLcyzY;15/10/2020;Amapá;
PedroPpfc;RT @treparana: ???? Segue o fio e confere aí a representatividade que rolou nas #eleicoes2020 ;18/09/2020;Rio Grande do Norte;
GenteCalma;RT @NossosOrixas: O homem voltou com chapeuzinho de zé pilintra e tudo. #Eleicoes2020;15/10/2020;Natal;
subservisabr;Todos contra esse governo!;20/10/2020;Niter¢i - RJ;
Tocantins79;RT @PortalDisparada: As elei‡äes paulistanas e o futuro do PDT. Por Felipe Augusto Ferreira.;08/08/2020;Tocantins - Brasil;
drikam76;RT @agencialupa: Circula nas redes sociais a informa‡Æo de que o Ibope projetou a virada ou a vit¢ria de candidatos do PT, PSOL e PCdoB no 2§ turno das elei‡äes;09/10/2020;Marau;
magnainacio;RT @tvalmg: Pe‡as do xadrez pol¡tico: #Eleicoes2020 sÆo divisor de  guas na consolida‡Æo de bloco parlamentar de apoio e da oposi‡Æo a #Bolsonaro, diz @magnainacio. ;27/07/2020;RS;
LeiaRachor;ELEITORES DE Belo Horizonte. OLHA A MERDA- M E R D A- que vocˆs fizeram.;17/10/2020;BH Sul;
Cadamin;Vacina‡Æo contra a Covid no Brasil vai come‡ar com profissionais de sa£de, maiores de 75 anos e ind¡genas;02/12/2020;Macei¢ - AL;
RianaLinhares;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipula‡Æo de dados de pesquisas eleitorais e um sistema eleitoral inaudit vel, sempre levaremos ?gato por lebre?;25/09/2020;Brasil;
ricardoguidio;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipula‡Æo de dados de pesquisas eleitorais e um sistema eleitoral inaudit vel, sempre levaremos ?gato por lebre?. ;26/09/2020;Fortaleza - Brazil;
EmersonAnomia;Sobre as #eleicoes2020 acho que as urnas deram um recado claro, nÆo apenas para o bolsonarismo, mas essa an lise deve ser feita por quem tiver humildade. NÆo adianta culpar A ou B e pensar que o leitor mudar . Uma alian‡a democr tica tamb‚m precisa de humildade e altru¡smo.;01/12/2020;Piraju - Brasil;
RobbyMass14;RT @sbtnews: Jair Bolsonaro votou na manhÆ deste domingo, no Rio de Janeiro. Na sa¡da da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso ‚ uma necessidade;12/11/2020;SÆo Paulo;
theluckelima;DIA 06/12 VAMO DE BANCADA PRETA, 18080! ;;02/12/2020;
rojasvega;RT @gerardodeicaza: A poco más de dos horas después del cierre de la votación la mega pantalla de resultados del @TSEjusbr marca que ya se han contabilizado más del 98% de las mesas electorales.;02/12/2020;Mexico;
jorgefieza;24h depois, é a vez de Cametá. #cameta #Eleicoes2020 https://t.co/CMuvv7PVEB;02/12/2020;Recife - Brasil;
abiliomurce;Se BH tivesse um candidato inteligente, que não apostasse nas promessas da velha política, né #JoaoVitorXavier;10/10/2020;Belo Horizonte;
Dmenegaz;RT @LeiaRachor: ELEITORES DE Belo Horizonte . OLHA A MERDA- M E R D A- que vocês fizeram. Fico pensando ?? será MESMO que NÃO TINHA NENHUM candidato BOM para votar em BH??!?!?!? #Eleicoes2020 ;02/09/2020;RS;
Jabesmar;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipulação de dados de pesquisas eleitorais e um sistema eleitoral inauditável, sempre levaremos “gato por lebre”.;15/10/2020;Rio Grande do Norte;
eratostenes;#Eleicoes2020 DE LULA AO PT E SEUS PRIMOS, TODOS PERDERAM https://t.co/JDR1y8lpIL;13/09/2020;Bahia;
xandaodalapa;SAIU! Análise bombástica das #Eleicoes2020 nos #EUA e no Brasil,com o #SegundoTurno das #eleicoesmunicipais2020 #PT #Bolsonaro #Doria #PSDB ;15/10/2020;São Paulo - SP;
Estadao;#Eleicoes2020: Fragmentação partidária aumenta e é a maior das últimas cinco eleições https://t.co/utaeiMm5WX;01/12/2020;São Paulo - SP;
rafa16_;"RT @porcoespirito: Ficha de hoje: ""Luga Chácara."" segue o Porco Espírito!";23/11/2020;Brasil;
Ricardo20425739;#Eleicoes2020 #BoulosNao #BolsonaroTemRazao https://t.co/iHKWP9gQLs;13/08/2020;Rio  de Janeiro;
Beto1berto;Falta de aviso não foi...?#phapresente #tvafiada #governo #brasil #saopaulo #eleiçoes2020 #pandemia #coronavirus #covid_19 ;06/06/2020;Amapá;
gurudepre;RT @J_LIVRES: Por Fredy Varela @FredyVarela #Eleicoes2020 https://t.co/ASKGPlgmbz;17/11/2020;Universal;
RPorto9;#Poliítica Quero crer quantos esquecidos? Lacram-se as urnas, e as realidades #Eleicoes2020 https://t.co/IaqKBOFMrR;01/10/2020;Brazil;
fabio_aracati;#Eleicoes2020 de uma certeza simples que o perfume da vitória passará por uma composição de frente ampla dos partidos de esquerda com o #Ciro2022 + um... qualquer outra coisa é derrota certa. @cirogomes;05/11/2020;Blumenau;
jm44552;Programa com os dois leva mais de 3 horas no mínimo. Daqui a pouco, às 22h, tem Fernando Melo e Evandro Pontes. #FernandoMelo #EvandroPontes #Eleicoes2020;18/08/2020;Santa Catarina;
admtalesmartins;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipulação de dados de pesquisas eleitorais e um sistema eleitoral inauditável, sempre levaremos “gato por lebre”. #REAGEBRASIL #VotoAuditavelJa #Eleicoes2020 #ForaNhonhoEBatore https://t.co/Uh7z29v6Fz;23/09/2020;Brasil;
souunides23;CRB e CSA empatam no Clássico das Multidões pela Série B https://t.co/qOZ4NEC9yS #alagoas #eleicoesal #eleicoes2020 https://t.co/1IaVgrenMl;17/10/2020;Geolândia;
VulpesFortis;"RT @ternuma: A Aberração Humana está eufórica, @jairbolsonaro foi o grande derrotado nas #Eleicoes2020, ninguém votou em seus candidatos. Mas o que aconteceu com o ""gado""? O verdadeiro gado é este que faz campanha contra nosso governo. https://t.co/oZjR3mPmyq";13/11/2020;China;
ConsuMII;#IBOPE e tem ainda alguém que acredita. Abstenções/Brancos/Nulos ganharam de muitos eleitos. #Eleições2020 #AlexandreGarciaTemRazão https://t.co/ggTaQ1KlGA;14/10/2020;Minas Gerais;
parrahenri;RT @LabcidadeFAUUSP: Este mapa mostra a diferença dos percentuais de votos em @GuilhermeBoulos em 2020 e @Haddad_Fernando por zona eleitoral em São Paulo;02/12/2020;São Paulo - SP;
CristianoAlmei0;RT @miriamleitao: SP: Guilherme Boulos do PSOL sai dessa eleição bem maior do que entrou, mesmo tendo perdido a eleição. Tornou-se uma força importante da esquerda. ;08/08/2020;MG;
ximenesm1;RT @TransformSantos: Gestores qualificados? TEMOS. Essa é a equipe que vai compor o nosso Grupo de Inteligência e futuro CG. É preciso avaliar criteriosamente quem será trazido para trabalhar no clube e exigiremos alto nível de capacitação profissional. ;12/10/2020;Rio Grande;
_rdnews;#Eleições2020 | Vereador reeleito Sargento Joelson (SD) se diz seguro para assumir a vaga e considerou “uma irresponsabilidade” do Patriota se manifestar pedindo a recontagem dos votos.;15/09/2020;Cuiabá - MT;
Sangue_Latino;"@AdsumP ""Atenção prioritária"" será sempre priorizada para as classes + abastadas. ";16/09/2020;Brazil;
psoljoaopessoa;RT @tarcioteixeira: Para alguns as eleições acabaram, para outros segue a burocracia e os depoimentos. Na Polícia Federal, depondo sobre denúncia que fiz contra gestor que ameaçou demitir quem não fizesse campanha para o candidato eleito na capital.;03/10/2020;João Pessoa;
